,Unnamed: 0,owner_type,district,street,price,area,price_per_sqm,room_n,floor_ratio,floor_n,floor_total,year,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,h_aeroterminis,h_centrinis,h_centrinis kolektorinis,h_dujinis,h_elektra,h_geoterminis,h_kietu kuru,h_kita,b_Blokinis,b_Karkasinis,b_Kita,b_Medinis,b_Monolitinis,b_Mūrinis,b_Rąstinis,age,location,latitude,tier,longitude,t1,t2,t3,t4,t5,lon_scaled,lat_scaled,equip_state,equip_state_encoded
0,0,company, Pilaitė, Bitėnų g.,91000,57.94,1570.5902657921988,3,0.8,4,5,2021,580.0,210.0,480.0,180.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Bitėnų g.",54.7005902,tier3,25.169763600000003,0.0,0.0,1.0,0.0,0.0,-1.0423735949363988,0.10899493035092278,Dalinė apdaila ,2
1,1,company, Pilaitė, Bitėnų g.,90000,59.88,1503.0060120240478,3,0.2,1,5,2021,590.0,150.0,450.0,130.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Bitėnų g.",54.7005902,tier3,25.169763600000003,0.0,0.0,1.0,0.0,0.0,-1.0423735949363988,0.10899493035092278,Dalinė apdaila ,2
2,2,company, Pilaitė, Bitėnų g.,75000,52.44,1430.2059496567506,3,0.4,2,5,2021,580.0,210.0,480.0,180.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Bitėnų g.",54.7005902,tier3,25.169763600000003,0.0,0.0,1.0,0.0,0.0,-1.0423735949363988,0.10899493035092278,Dalinė apdaila ,2
3,3,company, Bajorai, Bajorų kel.,108800,69.51,1565.242411163861,4,0.3333333333333333,2,6,2021,1400.0,1700.0,530.0,30.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Bajorų kel.",54.762288600000005,tier3,25.2537472,0.0,0.0,1.0,0.0,0.0,-0.04867432686320188,1.1426407300958723,Dalinė apdaila ,2
4,4,company, Pilaitė, Bitėnų g.,100000,65.1,1536.0983102918588,3,0.4,2,5,2021,520.0,140.0,420.0,70.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Bitėnų g.",54.7005902,tier3,25.169763600000003,0.0,0.0,1.0,0.0,0.0,-1.0423735949363988,0.10899493035092278,Dalinė apdaila ,2
5,5,company, Pašilaičiai, Budiniškių g.,74200,46.41,1598.793363499246,2,0.2,1,5,2020,230.0,520.0,320.0,340.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"Vilnius, Budiniškių g.",54.7309,tier3,25.2117095,0.0,0.0,1.0,0.0,0.0,-0.5460670526034511,0.6167811527020446,Dalinė apdaila ,2
6,6,company, Šnipiškės, Giedraičių g.,95000,53.61,1772.057451967917,2,0.8,8,10,2018,220.0,500.0,260.0,190.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,"Vilnius, Giedraičių g.",54.70664820000001,tier2,25.2805569,0.0,1.0,0.0,0.0,0.0,0.26853973954099125,0.21048583213850453,Dalinė apdaila ,2
7,7,company, Šnipiškės, Giedraičių g.,67000,30.38,2205.3982883475974,1,0.5555555555555556,5,9,2020,130.0,440.0,200.0,150.0,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Vilnius, Giedraičių g.",54.70664820000001,tier2,25.2805569,0.0,1.0,0.0,0.0,0.0,0.26853973954099125,0.21048583213850453,Dalinė apdaila ,2
8,8,company, Pašilaičiai, Eitminų g.,89500,48.2,1856.846473029045,2,1.0,9,9,2018,250.0,1300.0,510.0,170.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,"Vilnius, Eitminų g.",54.740877100000006,tier3,25.2216,0.0,0.0,1.0,0.0,0.0,-0.4290420309221306,0.7839295310819734,Įrengtas ,3
9,9,company, Viršuliškės, Viršuliškių g.,127800,74.63,1712.4480771807584,4,0.18181818181818185,2,11,2021,280.0,500.0,160.0,90.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Viršuliškių g.",54.711144299999994,tier3,25.223000600000002,0.0,0.0,1.0,0.0,0.0,-0.4124700431189939,0.2858099066726569,Dalinė apdaila ,2
