,title,price,area,room_n,floor_n,floor_total,year,building_type,heating_type,equip_state,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,owner_type,district,street
0,"Vilnius, Pilaitė, Bitėnų g., 3 kambarių butas",91 000 ,"57,94 ",3,4,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,580,210,480,180,1.0,company, Pilaitė, Bitėnų g.
1,"Vilnius, Pilaitė, Bitėnų g., 3 kambarių butas",90 000 ,"59,88 ",3,1,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,590,150,450,130,1.0,company, Pilaitė, Bitėnų g.
2,"Vilnius, Pilaitė, Bitėnų g., 3 kambarių butas",75 000 ,"52,44 ",3,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,580,210,480,180,1.0,company, Pilaitė, Bitėnų g.
3,"Vilnius, Bajorai, Bajorų kel., 4 kambarių butas",108 800 ,"69,51 ",4,2,6,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,"1,4k","1,7k",530,30,2.0,company, Bajorai, Bajorų kel.
4,"Vilnius, Pilaitė, Bitėnų g., 3 kambarių butas",100 000 ,"65,1 ",3,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,520,140,420,70,2.0,company, Pilaitė, Bitėnų g.
5,"Vilnius, Pašilaičiai, Budiniškių g., 2 kambarių butas",74 200 ,"46,41 ",2,1,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,230,520,320,340,4.0,company, Pašilaičiai, Budiniškių g.
6,"Vilnius, Šnipiškės, Giedraičių g., 2 kambarių butas",95 000 ,"53,61 ",2,8,10,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,220,500,260,190,5.0,company, Šnipiškės, Giedraičių g.
7,"Vilnius, Šnipiškės, Giedraičių g., 1 kambario butas",67 000 ,"30,38 ",1,5,9,2020,Kita,Centrinis kolektorinis,Dalinė apdaila ,130,440,200,150,4.0,company, Šnipiškės, Giedraičių g.
8,"Vilnius, Pašilaičiai, Eitminų g., 2 kambarių butas",89 500 ,"48,2 ",2,9,9,2018,Mūrinis,Centrinis kolektorinis,Įrengtas ,250,"1,3k",510,170,4.0,company, Pašilaičiai, Eitminų g.
9,"Vilnius, Viršuliškės, Viršuliškių g., 4 kambarių butas",127 800 ,"74,63 ",4,2,11,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,280,500,160,90,5.0,company, Viršuliškės, Viršuliškių g.
10,"Vilnius, Bajorai, Bajorų kel., 1 kambario butas",55 400 ,"29,09 ",1,1,9,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,"1,4k","1,7k",530,30,2.0,company, Bajorai, Bajorų kel.
11,"Vilnius, Justiniškės, Taikos g., 3 kambarių butas",98 600 ,"62,42 ",3,1,4,2019,Mūrinis,Centrinis,Dalinė apdaila ,220,60,410,170,1.0,company, Justiniškės, Taikos g.
12,"Vilnius, Pilaitė, Tolminkiemio g., 3 kambarių butas",109 500 ,60 ,3,4,4,2020,Blokinis,Centrinis kolektorinis,Įrengtas ,320,760,530,350,2.0,company, Pilaitė, Tolminkiemio g.
13,"Vilnius, Pilaitė, Juodkrantės g., 2 kambarių butas",91 600 ,"51,23 ",2,1,5,2019,Mūrinis,Centrinis kolektorinis,Įrengtas ,400,630,530,240,3.0,company, Pilaitė, Juodkrantės g.
14,"Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas",123 000 ,"58,52 ",3,4,5,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,220,220,150,20,0.0,company, Antakalnis, Antakalnio g.
15,"Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas",92 500 ,"42,03 ",2,4,5,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,220,220,150,20,0.0,company, Antakalnis, Antakalnio g.
